Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 589	As Holy Kirk makes mind / Intrauit ventris thalamum	A macaronic carol of the Nativity — nine quatrains (abab) and two-line burden: ‘The almyghty Kyng of blys / Assumpsit carnem virginis’			carols, Nativity	— four-line, two-line — abab, aa	
DIMEV 590	As Holy Scripture maketh mention	Verses attached to a figure of a sphere in George Ripley’s Compound of Alchemy — six stanzas rhyme royal	 Compound of Alchemy	George Ripley	alchemical poems	— seven-line — seven-line	See 975.
DIMEV 591	As Holy Writ witness and tell	Three things that will never be completely filled, within Henry Daniel’s Liber Uricrisiarum or Dome of Urines, in Book II, chapter 7 — five couplets			hell; women, against; women, against	— two-line — aa	
DIMEV 592	As I came by a bower so fair	The complaint of a prisoner of love — four 8-line stanzas including refrain, ‘almes dede for our lady sake’			love lyrics	— eight-line — ababbcbc	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 178.
DIMEV 593	As I came by a forest side	‘Do for þi selfe wyle þat þu art here’ — nine 8-line stanzas	 ‘Do for þi selfe wyle þat þu art here’		chansons d’aventure; transitoriness, of life	— eight-line — ababbcbc	
DIMEV 594	As I came by an way / Of one I herde say	Dame Siriȝ — 450 lines in couplets and 6-line stanzas			fabliaux	— two-line, six-line — aa, aabccb	Dame Siriȝ
DIMEV 595	As I came fro deuys dall[?]	On the good use of provisions — two couplets			food	— two-line	
DIMEV 596	As I came walking by the way / I saw a sight seemly to see	A song of the Angels appearing to the Shepherds — four 8-line stanzas (ababbcbc) including a Latin refrain, ‘Veritas de terra orta est’ plus burden (cc): ‘Man move thy mynd and ioy this fest / Verytas de terra orta est’			carols, Nativity	— eight-line, two-line — ababbcbc, aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 179.
DIMEV 597	As I could walk because of recreation	Dialogue between a Clerk and a Husbandman — seven 8-line stanzas with refrain: ‘Turn vp her halter and let her go’			dialogues	— eight-line — ababbcbc	For a poem with the same refrain see 2312.
DIMEV 598	As I fared in a frith	‘In þi most welth wisely be ware’ — eleven 8-line stanzas	 ‘In þi most welth wisely be ware’		wealth, wise use of; chansons d’aventure; dream poems	— eight-line — ababbcbc	
DIMEV 599	As I fared through a forest free / There birds song from year to year	On the transitoriness of worldly fortune — seven 8-line stanzas with refrain, ‘Welfare hath no sikernes’			advice, moral; transitoriness, of world; birds, as speakers/narrators	— eight-line — ababbcbc	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 182.
DIMEV 600	As I find written in a legend aurea	Osbern Bokenam, ‘Life of St Agatha’	 ‘Life of St Agatha’	Osbern Bokenam	Agatha, saint, life of; saints’ lives		
DIMEV 601	As I find written of a king / That never would laugh…	The Melancholy King, in the Northern Homily Cycle — in couplets	 Melancholy King; Northern Homily Cycle			— two-line — aa	Cf. 2655; for other MSS see 644, 4973.
DIMEV 602	As I forth walketh airily among the goves and pleasant springs	Song, or ballad, surviving in fragmentary form only — two or three lines			songs; fragments	— two-line — ab	
DIMEV 603	As I gan wander in an evening / Between the corns	Advice to Prelates — six 8-line stanzas, with refrain, ‘To kepe ther shepe well in fold’			advice, to prelates; clergy, criticism/satire of	— eight-line — ababbcbc	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 183.
DIMEV 604	As I gan wander in my walking / Besides an holt…	The Hours of Man’s Life — ten 8-line stanzas with the refrain: ‘þis worlde is but a vanyte’	 Hours of Man’s Life		vanity, against worldly; human life, transitory nature of; transitoriness, of life	— eight-line — ababbcbc	
DIMEV 605	As I lay in a winters night / In a darkening before the day	‘þe disputisoun betwen þe bodi and þe soule’ — 61 to 74 eight-line stanzas (abababab) sometimes written as quatrains with medial rhyme	 disputisoun betwen þe bodi and þe soule		body and soul, debate between; debates, body and soul; dialogues	— eight-line — abababab	
DIMEV 606	As I lay upon a night	A Dialogue between the Virgin Mary and her Infant — thirty-seven quatrains (abab) with refrain ‘Alone in my longyng’ and two-line burden: ‘Lullay lullay la lullay / My dere moder lullay’			dialogues, Virgin and Christ; Virgin Mary, dialogue, with Christ; Christ, dialogue, with Virgin Mary; Virgin Mary, lullay songs of	— four-line, two-line — abab, aa	
DIMEV 607	As I lay upon a night	A song of the Virgin Mary and Joseph — sixteen quatrains (a virelai)			Virgin Mary and Joseph; Joseph, father of Jesus; virelais	— four-line — abab	
DIMEV 608	As I lay upon a night	A carol of the Annunciation — five quatrains (aaab) including refrain, ‘Redemptoris mater’ plus burden (bb): ‘Now syng we all in fere / Alma redemptoris mater’			carols, Annunciation	— four-line, two-line — aaab, aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 188.
DIMEV 609	As I me lay alone in bed	A variant version of Thomas Brampton’s Seven Penitential Psalms: 124 8-line stanzas with refrain, ‘Ne reminiscaris domine’	 Seven Penitential Psalms	Thomas Brampton	psalms, penitential	— eight-line — ababbcbc	For the usual version see 2668.
DIMEV 610	As I me lened to a land / I heard a shepherd	On the evils of the times — seven quatrains with the refrain: ‘A lord how gos þis word abowte’	 A lord how gos þis word abowte		evils of the time; friends, fickleness of; contemporary conditions	— four-line	Cf. 3816
DIMEV 611	As I me lened unto a joyful place	Birds’ matins — ten stanzas rhyme royal			birds; birds, as narrators	— rhyme royal, seven=line — ababbcc	
DIMEV 612	As I me rode in a May morning	On contemporary conditions — eleven quatrains with refrain, ‘quod omnis caro fenum est’, and burden: ‘Man in þi mynd loket þis be best / Omnis caro fenum est’	 Omnis caro fenum est		carols, satirical; chansons d’aventure; birds, as narrators; contemporary conditions	— four-line, two-line — abab, aa	
DIMEV 613	As I me rode this ender day / By green wood to seek play	A song of the Five Joys of the Virgin Mary — ten 6-line stanzas			Virgin Mary, joys of	— six-line — aaabab	
DIMEV 614	As I me rode this ender day	A Love Adventure — reconstructed as three 7-line stanzas (ababbbc) with 3-line burden: ‘Nou sprinkes the sprai / Al for loue icche am so seek / Þat slepen i ne mai’			carols, amorous; dialogues, lovers’	— seven-line, three-line — ababbbc, aba	
DIMEV 615	As I me rose in a morning	Song of the Virgin Mary lulling her Child — five quatrains and burden: ‘Modyr whyt os lyly flowr / Yowr lullyng lessyth my langovr’			Virgin Mary, lullay songs of	— four-line, two-line — aaab, aa	
DIMEV 616	As I me sat myself alone / In my heart making my moan	A Complaint against the baseness of false friends — eight quatrains (abab) with refrain, ‘qwat sal I do / þat I most trayste / it is all waste / sor may me rew’			complaints; friends, false	— four-line — abab	
DIMEV 617	As I me walked in a May morning / I heard a bird sing cuckoo	Fragment of a song — two lines and portion of a third			chansons d’aventure ; songs; birds, as narrators	— three-line — aba	Possibly a variant beginning of 633.
DIMEV 618	As I me walked over fields wide / When men began to Ere	God Speed the Plough — twelve 8-line stanzas including refrain, ‘I pray to god spede wele the plough’			agriculture; political verse; Church, criticism/satire of; tithes	— eight-line — ababbcbc	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 191; quite distinct from the other song on this theme: see 2339.
DIMEV 619	As I me walked this ender day	Song of the Virgin Mary talking to her Child — five quatrains including refrain ‘a lone’ (aaab) and burden (bb): ‘Alone alone alone alone alone / Here I sytt alone alas alone’			Virgin Mary, dialogue, with Christ; dialogues, Virgin and Christ	— four-line — aaab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 192.
DIMEV 620	As I me went this ender day / Fast in my way	Thomas of Erceldoune’s Prophecy, in three ‘Fyttes’ — in quatrains or five-line stanzas, or others irregular		Thomas Erceldoune of	political prophecies; romances	— four-line, five-line — abab, ababc	See 6205; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 193; critical edition Flasdieck (1934) XFlasdieck, Hermann Martin. Tom der Reimer, von keltischen feen und politischen propheten. Wort und Bra 22. Breslau: Marcus, 1934; there are many prophecies of this name in the sixteenth century, some variants, others bearing no relation to this text.
DIMEV 621	As I mused in my dice mickle toward	Now merged with 4522.					
DIMEV 622	As I my self lay this ender night	On an unfaithful mistress — twelve quatrains			lovers, unfaithful; erotic verse; letters	— four-line — abab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 194.
DIMEV 623	As I on hilly halkes lodged me late	Story of Joseph and Aseneth — 933 lines in rhyme royal stanzas and a Prologue of eight 4-line stanzas			Joseph and Aseneth, story of; paraphrases; scripture texts, paraphrases	— seven-line, four-line — ababbcc, abab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 195; cf. 27, considered as Epilogue.
DIMEV 624	As I sat upon a straw	A carol lacking first and sixth stanzas — six quatrains (abab) and 2-line burden (bb): ‘Newes newes newes newes / Ye never herd so many newes’			nonsense verse; carols, humorous	— four-line, two-line — abab, aa	Formerly 102.3; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 196.
DIMEV 625	As I stood in a park straight up by a tree	John Lacy, ‘Wyl Bucke his Testament’ — in rhyme royal stanzas	 ‘Wyl Bucke his Testament’	John Lacy	hunting; testaments	— seven-line — ababbcc	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 197.
DIMEV 626	As I stood in a royal hall	Ever say Well or hold Thee Still — ten 8-line stanzas			cautionary advice; warning against rash speech	— eight-line	
DIMEV 627	As I stood in studying alone	‘The complaynte ageyne Hope’ — fifteen 8-line stanzas	 ‘The complaynte ageyne Hope’		complaints, lovers’; hope, lovers’; debates	— eight-line — ababbcbc	
DIMEV 628	As I stood on a day me self under a tree	A Love Song — thirty-one lines in three irregular stanzas			love lyrics; ribaldry	— irregular	
DIMEV 629	As I walked myself alone	‘Of kynge Herry the vi’. The poet hears Henry bemoaning the wicked counsel of Queen Margaret etc., that led to the murder of Humphrey and the exile of the Duke of York — fifty-four lines in 8-line stanzas, ababcdcd	 ‘Of kynge Herry the vi’		Henry VI; Margaret of Anjou, queen (Henry VI); Humphrey, duke of Gloucester; Edward IV, when duke of York; political poems	— four-line, eight-line — abab, ababcdcd	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 199.
